"","time","state","county","NAME","SAEMHI_PT","SAEPOVRTALL_PT"
"418",2006-01-01,"01","031","Coffee County",41417,14.2
"419",2006-01-01,"01","033","Colbert County",36690,14.4
"420",2006-01-01,"01","035","Conecuh County",25992,26.3
"421",2006-01-01,"01","037","Coosa County",32424,16.7
"422",2006-01-01,"01","039","Covington County",30293,16.9
"423",2006-01-01,"01","041","Crenshaw County",30576,20
"424",2006-01-01,"01","043","Cullman County",35774,15.7
"425",2006-01-01,"01","045","Dale County",36969,16.9
"426",2006-01-01,"01","047","Dallas County",26135,28.2
"427",2006-01-01,"01","049","DeKalb County",31613,17.1
"428",2006-01-01,"01","051","Elmore County",50006,13
"429",2006-01-01,"01","053","Escambia County",32844,22.4
"430",2006-01-01,"01","055","Etowah County",32448,16.7
"431",2006-01-01,"01","057","Fayette County",34465,16.7
"432",2006-01-01,"01","059","Franklin County",30911,17
"433",2006-01-01,"01","061","Geneva County",30230,19.5
"434",2006-01-01,"01","063","Greene County",23404,33.2
"435",2006-01-01,"01","065","Hale County",29268,24.9
"436",2006-01-01,"01","067","Henry County",35398,17.8
"437",2006-01-01,"01","069","Houston County",37415,16.3
"438",2006-01-01,"01","071","Jackson County",37545,15.5
"439",2006-01-01,"01","073","Jefferson County",41731,14.3
"440",2006-01-01,"01","075","Lamar County",31891,18.4
"441",2006-01-01,"01","077","Lauderdale County",37801,17.1
"442",2006-01-01,"01","079","Lawrence County",37501,14.6
"443",2006-01-01,"01","081","Lee County",37568,18.7
"444",2006-01-01,"01","083","Limestone County",44253,14
"445",2006-01-01,"01","085","Lowndes County",26390,28
"446",2006-01-01,"01","087","Macon County",24467,30.2
"447",2006-01-01,"01","089","Madison County",51434,11.2
"448",2006-01-01,"01","091","Marengo County",30515,26.2
"449",2006-01-01,"01","093","Marion County",32792,17.1
"450",2006-01-01,"01","095","Marshall County",37142,17.5
"451",2006-01-01,"01","097","Mobile County",38188,19.1
"452",2006-01-01,"01","099","Monroe County",32163,22
"453",2006-01-01,"01","101","Montgomery County",40922,18.6
"454",2006-01-01,"01","103","Morgan County",40681,16
"455",2006-01-01,"01","105","Perry County",22637,32.3
"456",2006-01-01,"01","107","Pickens County",29737,23
"457",2006-01-01,"01","109","Pike County",29269,28.1
"458",2006-01-01,"01","111","Randolph County",32984,17.5
"459",2006-01-01,"01","113","Russell County",30627,23.9
"460",2006-01-01,"01","115","St. Clair County",45549,10.4
"461",2006-01-01,"01","117","Shelby County",66476,7.2
"462",2006-01-01,"01","119","Sumter County",23130,30.8
"463",2006-01-01,"01","121","Talladega County",35524,18.4
"464",2006-01-01,"01","123","Tallapoosa County",32939,18.9
"465",2006-01-01,"01","125","Tuscaloosa County",37952,19.7
"466",2006-01-01,"01","127","Walker County",35123,17
"467",2006-01-01,"01","129","Washington County",33896,20.1
"468",2006-01-01,"01","131","Wilcox County",19949,35.5
"469",2006-01-01,"01","133","Winston County",31869,18.7
"470",2007-01-01,"01","001","Autauga County",50375,10.4
"471",2007-01-01,"01","003","Baldwin County",49163,10.3
"472",2007-01-01,"01","005","Barbour County",30370,26.1
"473",2007-01-01,"01","007","Bibb County",38907,18.2
"474",2007-01-01,"01","009","Blount County",43266,13.1
"475",2007-01-01,"01","011","Bullock County",24969,34
"476",2007-01-01,"01","013","Butler County",30460,23.2
"477",2007-01-01,"01","015","Calhoun County",37478,17.1
"478",2007-01-01,"01","017","Chambers County",33904,15.6
"479",2007-01-01,"01","019","Cherokee County",37376,18.9
"480",2007-01-01,"01","021","Chilton County",39663,16.7
"481",2007-01-01,"01","023","Choctaw County",31508,21.8
"482",2007-01-01,"01","025","Clarke County",32627,21.8
"483",2007-01-01,"01","027","Clay County",36009,15.5
"484",2007-01-01,"01","029","Cleburne County",38918,15.4
"485",2007-01-01,"01","031","Coffee County",36819,16.5
"486",2007-01-01,"01","033","Colbert County",37530,16.5
"487",2007-01-01,"01","035","Conecuh County",27555,24.7
"488",2007-01-01,"01","037","Coosa County",34667,15.1
"489",2007-01-01,"01","039","Covington County",32490,19.4
"490",2007-01-01,"01","041","Crenshaw County",33156,18.3
"491",2007-01-01,"01","043","Cullman County",39194,14.2
"492",2007-01-01,"01","045","Dale County",41214,16.7
"493",2007-01-01,"01","047","Dallas County",27647,30.2
"494",2007-01-01,"01","049","DeKalb County",35558,18.4
"495",2007-01-01,"01","051","Elmore County",49193,11.3
